offset_col,offset_row,playable,terrain,subregion,site_id,visual_variant
0,0,true,grassland,subregion.life.north_west_telluria,,0
1,0,true,grassland,subregion.life.north_west_telluria,,0
2,0,true,grassland,subregion.life.north_west_telluria,,0
3,0,true,grassland,subregion.life.north_west_telluria,,0
4,0,true,grassland,subregion.life.north_west_telluria,,0
5,0,true,grassland,subregion.life.north_west_telluria,,0
6,0,true,grassland,subregion.life.north_west_telluria,,0
7,0,true,grassland,subregion.life.north_west_telluria,,0
8,0,true,grassland,subregion.life.north_west_telluria,,0
9,0,true,grassland,subregion.life.north_east_telluria,,0
10,0,true,grassland,subregion.life.north_east_telluria,,0
11,0,true,grassland,subregion.life.north_east_telluria,,0
12,0,true,grassland,subregion.life.north_east_telluria,,0
13,0,true,marsh,subregion.life.north_east_telluria,,0
14,0,true,marsh,subregion.life.north_east_telluria,,0
15,0,true,marsh,subregion.life.north_east_telluria,,0
16,0,true,marsh,subregion.life.north_east_telluria,,0
17,0,true,grassland,subregion.life.north_east_telluria,,0
18,0,true,grassland,subregion.life.north_east_telluria,,0
19,0,true,grassland,subregion.life.north_east_telluria,,0
0,1,true,grassland,subregion.life.north_west_telluria,,0
1,1,true,grassland,subregion.life.north_west_telluria,,0
2,1,true,farmland,subregion.life.north_west_telluria,,0
3,1,true,farmland,subregion.life.north_west_telluria,,0
4,1,true,farmland,subregion.life.north_west_telluria,,0
5,1,true,farmland,subregion.life.north_west_telluria,,0
6,1,true,grassland,subregion.life.north_west_telluria,,0
7,1,true,grassland,subregion.life.north_west_telluria,,0
8,1,true,marsh,subregion.life.north_west_telluria,,0
9,1,true,farmland,subregion.life.north_east_telluria,,0
10,1,true,farmland,subregion.life.north_east_telluria,,0
11,1,true,farmland,subregion.life.north_east_telluria,,0
12,1,true,farmland,subregion.life.north_east_telluria,,0
13,1,true,marsh,subregion.life.north_east_telluria,,0
14,1,true,marsh,subregion.life.north_east_telluria,site.wilderness.northern_marsh,0
15,1,true,marsh,subregion.life.north_east_telluria,,0
16,1,true,marsh,subregion.life.north_east_telluria,,0
17,1,true,grassland,subregion.life.north_east_telluria,,0
18,1,true,grassland,subregion.life.north_east_telluria,,0
19,1,true,grassland,subregion.life.north_east_telluria,,0
0,2,true,grassland,subregion.life.north_west_telluria,,0
1,2,true,grassland,subregion.life.north_west_telluria,,0
2,2,true,farmland,subregion.life.north_west_telluria,,0
3,2,true,farmland,subregion.life.north_west_telluria,,0
4,2,true,grassland,subregion.life.north_west_telluria,site.settlement.barnemouth,0
5,2,true,farmland,subregion.life.north_west_telluria,,0
6,2,true,lake,subregion.life.north_west_telluria,,0
7,2,true,marsh,subregion.life.north_west_telluria,,0
8,2,true,marsh,subregion.life.north_west_telluria,,0
9,2,true,grassland,subregion.life.north_east_telluria,,0
10,2,true,farmland,subregion.life.north_east_telluria,,0
11,2,true,farmland,subregion.life.north_east_telluria,,0
12,2,true,farmland,subregion.life.north_east_telluria,,0
13,2,true,grassland,subregion.life.north_east_telluria,,0
14,2,true,lake,subregion.life.north_east_telluria,,0
15,2,true,lake,subregion.life.north_east_telluria,,0
16,2,true,lake,subregion.life.north_east_telluria,,0
17,2,true,grassland,subregion.life.north_east_telluria,,0
18,2,true,grassland,subregion.life.north_east_telluria,site.settlement.torrine,0
19,2,true,grassland,subregion.life.north_east_telluria,,0
